car_units_sold_100s,employee_satisfaction
68.75993372,69.66001867
68.91098174,43.95163438
31.04773773,38.5919733
50.50714655,28.35061194
50.49717519,39.21029307
69.05812962,90.33897461
50.54666267,12.17689307
68.6520093,25.42766672
31.4227863,3.232026077
68.57449362,32.25062675
50.50837729,23.78890333
50.52293708,67.13506521
69.330637,79.03240235
50.59346449,78.8908534
31.98837218,61.67672846
82.87005915,54.79221512
83.75071342,89.04703025
50.49663478,7.926562953
50.4963906,56.25767118
69.40381735,47.62519452
50.50345577,88.52889611
50.5686111,13.55234535
50.48793805,64.71537615
50.45611995,56.33606818
50.50838903,78.12751239
50.49003889,56.07675943
68.94449851,75.5106324
50.47386912,38.83705456
50.50569408,43.57507155
32.60872391,7.070696485
68.03667605,30.63883365
85.03135439,85.86410805
68.02762937,14.87278545
50.54671093,82.19714684
50.5268867,71.25574757
33.30648969,94.30756115
50.50550531,83.5120456
69.085519,94.37743838
69.09174371,64.26174345
68.14873135,65.21836364
50.51055788,41.14275996
31.35363146,30.60242764
50.49411856,86.69247032
50.49014122,28.79863739
32.46133273,38.86261203
50.60134766,67.36033818
68.58095138,43.64934415
50.5194942,44.36325776
85.48415249,64.15555515
50.48964398,32.05646448
50.51849606,86.69701507
50.49752889,40.00690072
50.56654251,57.1605458
68.89332777,33.64245156
32.44085112,4.789233653
50.49381051,71.21987306
33.88225838,86.10669818
66.71701932,66.24903904
66.46569067,46.16349239
68.96086533,34.16169352
50.50394074,31.91048983
68.4693533,21.1159951
67.02985822,2.100356023
68.65221684,46.22020441
50.48057572,70.60485591
50.50883001,17.27882833
11.57816206,38.81732546
13.82876978,36.78480032
15.01629632,13.70526664
50.51375573,16.1767015
68.90716014,99.40206699
67.26874763,33.75715801
68.69440755,10.42224061
83.8060773,55.79207915
50.6581482,43.19885658
50.50135698,44.81687093
50.49068179,49.30743849
50.49423668,19.271122
68.36038767,51.95224863
68.23851883,37.20841681
31.91102557,39.20461014
32.73438041,23.97499572
50.52395274,7.978727297
50.51514215,39.53862525
50.63399627,63.1908435
68.36847138,47.48362429
50.49655784,63.93110581
50.50984824,21.89124002
68.77123339,51.40838177
50.50951881,2.428463733
50.8830341,58.90738295
68.47189433,13.66056436
33.31057302,14.01565118
50.49908874,14.761079
68.13686671,31.8800131
50.49971212,5.182112475
50.72451714,4.220928768
50.48365759,25.98315318
34.60072414,74.58079977
50.50514709,58.10978633
31.92733534,18.24524109
50.74672175,46.8611041
69.05999003,94.01824083
50.55280844,12.52855223
68.11306286,53.17198704
68.90096659,91.76598806
50.51258945,67.09905127
50.64334806,21.80760919
68.71507649,52.78392408
50.50942817,58.33490541
50.51026769,19.27527875
68.87556798,71.81611673
69.35284504,85.2024657
31.59249151,46.55256162
68.71527921,89.80054324
50.74641041,67.68668611
50.51472009,51.76924419
50.4855926,45.06402206
50.49610709,30.95661858
50.89396171,17.89791929
50.53342972,46.11656743
31.40759311,39.5576209
50.51064792,35.76093102
31.74471766,15.15532673
50.52837927,45.29253294
84.73810576,57.57152424
50.49604626,28.77575296
30.90246653,51.39792272
50.49904477,45.21931151
67.48362342,58.7608751
67.79122323,76.63455497
69.47809546,71.64668409
68.79883714,88.56623672
31.21948123,60.74973237
50.512448,19.78776126
50.502139,29.67344357
69.29563139,53.31112348
50.95687863,20.81913659
31.17910823,37.26445893
68.00609935,75.23316666
69.19664198,57.01051005
50.50299912,86.14304439
50.49740412,58.63354032
50.50104348,26.94878577
50.50617096,40.68709372
50.52950788,89.50705658
85.37893184,77.09097325
50.50236778,28.24195894
50.50020043,94.32583214
32.93804271,8.639789615
50.50448217,38.26699946
31.90618196,4.090049163
50.51466695,72.83894016
15.42349248,24.42944367
50.49702884,60.8725161
50.51474811,27.52201189
31.8234574,58.03539979
69.22227382,38.32068664
50.54869613,66.50479677
50.4868166,69.03957318
50.47672728,42.15407229
50.56643833,55.21665545
69.42766024,80.88170033
50.51648414,18.77146194
67.71785905,77.42042333
67.32526618,59.21087149
31.28075948,28.40322094
68.4440957,47.05942838
50.49986422,35.7727775
83.24176614,49.24681512
50.49925727,61.3509393
68.24505515,41.66211366
50.50598508,56.7111827
68.9797276,85.52079622
50.57431642,72.62626209
67.67992592,46.83130984
50.51248166,91.95531352
69.08088167,70.96124138
50.50313519,27.89094217
68.71256156,31.96672497
50.48689219,53.14478836
32.78282053,26.29082491
